Problem Number;Problem Change Date+Time;Problem Sub Status;Problem Status;Problem Latest Impact;Problem Involved ST Org line 3;Problem Involved ST Function Div;Problem Involved Owner ST;Product;Country;Problem Involved Action Owner Country;Problem Involved Action Owner First Name
1-375430388;2012-02-03T18:54:32+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD97;us;POLAND;Ewa
1-375430388;2012-02-03T18:55:46+01:00;Closed;Completed;Medium;Org line G3;;G199 3rd;PROD97;us;POLAND;Ewa
1-375644051;2010-05-25T11:42:48+01:00;In Progress;Accepted;Medium;Org line C;E_10;G276 2nd;PROD698;se;0;Sumesh
1-375644051;2010-05-25T11:49:29+01:00;Wait;Accepted;Medium;Org line C;E_10;G276 2nd;PROD698;se;0;Sumesh
1-375644051;2011-06-29T15:13:19+01:00;In Progress;Accepted;Medium;Org line C;E_10;G276 2nd;PROD698;se;0;Sumesh
1-375644051;2011-11-23T12:47:29+01:00;Awaiting Assignment;Queued;Medium;Org line C;E_10;G276 2nd;PROD698;se;Sweden;Prasad
1-375644051;2011-11-23T12:49:06+01:00;In Progress;Accepted;Medium;Org line C;E_10;G276 2nd;PROD698;se;Sweden;Manoj
1-375644051;2011-11-23T12:55:00+01:00;Awaiting Assignment;Queued;Medium;Org line C;C_6;G278 3rd;PROD698;se;Sweden;David
1-375644051;2011-11-29T14:18:56+01:00;In Progress;Accepted;Medium;Org line C;C_6;G278 3rd;PROD698;se;Sweden;Markus
1-375644051;2012-03-23T13:57:17+01:00;Closed;Completed;Medium;Org line C;C_6;G278 3rd;PROD698;se;Sweden;Markus
1-375646314;2010-05-25T12:27:54+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-375646314;2010-05-25T12:32:07+01:00;Awaiting Assignment;Queued;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-375646314;2010-05-25T12:55:40+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;Sweden;Kannan
1-375646314;2010-05-25T12:55:45+01:00;Assigned;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-375646314;2012-02-04T08:44:05+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;POLAND;Ewa
1-375646314;2012-02-04T08:46:33+01:00;Closed;Completed;Medium;Org line G3;;G199 3rd;PROD96;us;POLAND;Ewa
1-375670011;2010-05-25T13:17:44+01:00;In Progress;Accepted;Medium;Org line G4;;S30 2nd;PROD410;se;Sweden;Helene
1-375670011;2012-01-16T14:31:56+01:00;Closed;Completed;Medium;Org line G4;;S30 2nd;PROD410;se;Sweden;Helene
1-376424233;2010-05-28T09:41:08+01:00;Assigned;Accepted;High;Org line G4;;S30 2nd;PROD412;se;Sweden;Björn
1-376424233;2011-08-26T13:14:03+01:00;In Progress;Accepted;High;Org line G4;;S30 2nd;PROD412;se;Sweden;Gustav
1-376424233;2012-01-16T13:42:34+01:00;Closed;Completed;High;Org line G4;;S30 2nd;PROD412;se;Sweden;Gustav
1-377083756;2010-06-01T11:19:11+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-377083756;2010-06-01T11:34:03+01:00;Awaiting Assignment;Queued;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-377083756;2010-06-01T16:19:00+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;Sweden;Kannan
1-377083756;2010-06-01T16:19:04+01:00;Assigned;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-377083756;2010-06-11T18:35:32+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G21 2nd;PROD96;us;Sweden;Kannan
1-377083756;2010-06-11T18:38:36+01:00;Wait;Accepted;Medium;Org line A2;A2_2;G21 2nd;PROD96;us;Sweden;Kannan
1-377083756;2010-06-14T16:29:35+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G21 2nd;PROD96;us;Sweden;Pontus
1-377083756;2010-06-15T16:40:03+01:00;Awaiting Assignment;Queued;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-377083756;2010-06-15T19:06:31+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G21 2nd;PROD96;us;Sweden;Kannan
1-377083756;2010-06-15T19:08:29+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;Sweden;Kannan
1-377083756;2010-06-15T19:08:34+01:00;Assigned;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-377083756;2012-02-02T22:50:43+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;POLAND;Ewa
1-377083756;2012-02-02T22:51:53+01:00;Closed;Completed;Medium;Org line G3;;G199 3rd;PROD96;us;POLAND;Ewa
1-377276064;2010-06-02T08:21:51+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-377276064;2010-06-02T08:29:29+01:00;Awaiting Assignment;Queued;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-377276064;2010-06-02T11:37:06+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;Sweden;Kannan
1-377276064;2010-06-02T11:37:11+01:00;Assigned;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-377276064;2012-01-31T09:59:47+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;POLAND;Ewa
1-377276064;2012-01-31T10:01:20+01:00;Closed;Completed;Medium;Org line G3;;G199 3rd;PROD96;us;POLAND;Ewa
1-377458451;2010-06-02T14:14:09+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-377458451;2010-06-02T14:16:27+01:00;Awaiting Assignment;Queued;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-377458451;2010-06-02T14:35:15+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;Sweden;Kannan
1-377458451;2010-06-02T14:35:21+01:00;Assigned;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-377458451;2012-02-04T09:18:21+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;POLAND;Ewa
1-377458451;2012-02-04T09:20:11+01:00;Closed;Completed;Medium;Org line G3;;G199 3rd;PROD96;us;POLAND;Ewa
1-378050311;2010-06-04T16:58:40+01:00;Awaiting Assignment;Queued;High;Org line C;E_7;G153 2nd;PROD153;se;Sweden;Maria
1-378050311;2010-06-22T10:37:32+01:00;In Progress;Accepted;High;Org line C;E_7;G153 2nd;PROD153;se;Sweden;Peter
1-378050311;2010-06-22T12:51:32+01:00;Assigned;Accepted;High;Org line C;E_7;G153 2nd;PROD153;se;Belgium;Christophe
1-378050311;2010-06-24T11:17:47+01:00;Assigned;Accepted;High;Org line C;E_7;G153 2nd;PROD153;se;Sweden;Bo
1-378050311;2010-07-09T10:03:29+01:00;In Progress;Accepted;High;Org line C;E_7;G134 2nd;PROD153;se;Sweden;Peter
1-378050311;2010-07-09T10:05:10+01:00;In Progress;Accepted;High;Org line C;E_7;G134 2nd;PROD153;se;Sweden;Peter
1-378050311;2010-11-07T14:44:39+01:00;Awaiting Assignment;Queued;High;Org line C;E_7;G153 2nd;PROD153;se;Sweden;Maria
1-378050311;2010-11-08T13:35:26+01:00;In Progress;Accepted;High;Org line C;E_7;G134 2nd;PROD153;se;Sweden;Peter
1-378050311;2010-11-08T13:36:40+01:00;Awaiting Assignment;Queued;High;Org line C;C_4;G155 3rd;PROD153;se;Sweden;Mattias
1-378050311;2010-11-24T11:06:02+01:00;In Progress;Accepted;High;Org line C;C_4;G155 3rd;PROD153;se;Sweden;Per
1-378050311;2010-11-24T13:46:08+01:00;Closed;Completed;High;Org line C;C_4;G155 3rd;PROD153;se;Sweden;Per
1-378050311;2010-11-24T16:23:23+01:00;In Progress;Accepted;High;Org line C;C_4;G155 3rd;PROD153;se;Sweden;Per
1-378050311;2010-11-24T16:34:47+01:00;Closed;Completed;High;Org line C;C_4;G155 3rd;PROD153;se;Sweden;Per
1-378050311;2010-11-24T16:36:35+01:00;In Progress;Accepted;High;Org line C;C_4;G155 3rd;PROD153;se;Sweden;Per
1-378050311;2011-11-30T13:59:57+01:00;Awaiting Assignment;Queued;High;Org line F;;S1 2nd;PROD153;se;Sweden;Craig
1-378050311;2012-02-27T08:12:23+01:00;In Progress;Accepted;High;Org line F;;S1 2nd;PROD153;se;Sweden;Stefan
1-378050311;2012-02-27T08:13:44+01:00;Closed;Completed;High;Org line F;;S1 2nd;PROD153;se;Sweden;Stefan
1-378054711;2010-06-04T16:57:53+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-378054711;2010-06-04T16:59:45+01:00;Awaiting Assignment;Queued;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-378054711;2010-06-04T17:08:12+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;Sweden;Kannan
1-378054711;2010-06-04T17:08:18+01:00;Assigned;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-378054711;2012-01-30T12:50:40+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;POLAND;Ewa
1-378054711;2012-01-30T12:51:51+01:00;Closed;Completed;Medium;Org line G3;;G199 3rd;PROD96;us;POLAND;Ewa
1-378744625;2010-06-08T14:20:08+01:00;In Progress;Accepted;Medium;Org line C;C_6;M5 2nd;PROD660;in;Sweden;Victor
1-378744625;2010-06-08T14:24:21+01:00;Awaiting Assignment;Queued;Medium;Org line C;C_6;M5 2nd;PROD660;in;Sweden;Victor
1-378744625;2010-06-09T14:43:31+01:00;Assigned;Accepted;Medium;Org line C;C_6;M5 2nd;PROD660;in;Sweden;Leif
1-378744625;2010-06-15T11:40:07+01:00;Awaiting Assignment;Queued;Medium;Org line C;E_7;G135 2nd;PROD660;in;Sweden;Ulf
1-378744625;2011-11-01T17:27:08+01:00;In Progress;Accepted;Medium;Org line C;E_7;G162 2nd;PROD660;in;Sweden;Amir
1-378744625;2011-11-01T17:29:39+01:00;Assigned;Accepted;Medium;Org line C;E_7;G162 2nd;PROD660;in;Sweden;Anna
1-378744625;2012-02-01T13:59:45+01:00;In Progress;Accepted;Medium;Org line C;E_7;G162 2nd;PROD660;in;Sweden;Anna
1-378744625;2012-02-01T13:59:47+01:00;Closed;Completed;Medium;Org line C;E_7;G162 2nd;PROD660;in;Sweden;Anna
1-378976624;2010-06-09T10:45:16+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-378976624;2010-06-09T10:58:40+01:00;Awaiting Assignment;Queued;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-378976624;2010-06-09T19:01:33+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;Sweden;Kannan
1-378976624;2010-06-09T19:01:38+01:00;Assigned;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-378976624;2011-04-08T12:57:15+01:00;Awaiting Assignment;Queued;Medium;Org line A2;A2_2;G21 2nd;PROD96;us;Sweden;Hannes
1-378976624;2011-04-08T12:57:49+01:00;Assigned;Accepted;Medium;Org line A2;A2_2;G21 2nd;PROD96;us;Sweden;Y
1-378976624;2011-04-08T14:30:45+01:00;Assigned;Accepted;Medium;Org line A2;A2_2;G21 2nd;PROD96;us;France;Valerie
1-378976624;2011-11-15T09:38:00+01:00;Awaiting Assignment;Queued;Medium;Org line G3;;G199 3rd;PROD96;us;USA;Carolyn
1-378976624;2012-02-04T09:13:38+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD96;us;POLAND;Ewa
1-378976624;2012-02-04T09:18:05+01:00;Closed;Completed;Medium;Org line G3;;G199 3rd;PROD96;us;POLAND;Ewa
1-379209685;2010-06-10T09:51:43+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-379209685;2012-03-13T08:30:17+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-379209685;2012-03-13T08:33:30+01:00;Closed;Completed;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-379702919;2010-06-13T15:31:25+01:00;In Progress;Accepted;High;Org line A2;A2_3;M3 2nd;PROD655;se;Sweden;Ulrika
1-379702919;2010-06-13T15:34:31+01:00;Awaiting Assignment;Queued;High;Org line A2;A2_3;M3 2nd;PROD655;se;Sweden;Ulrika
1-379702919;2010-10-25T10:08:52+01:00;In Progress;Accepted;High;Org line A2;A2_3;M3 2nd;PROD655;se;Sweden;Ulrika
1-379702919;2012-03-28T12:13:42+01:00;Assigned;Accepted;High;Org line A2;A2_3;M3 2nd;PROD655;se;Sweden;Daniel
1-379702919;2012-04-04T08:33:43+01:00;Closed;Completed;High;Org line A2;A2_3;M3 2nd;PROD655;se;Sweden;Daniel
1-379789104;2010-06-14T07:38:32+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Barbara
1-379789104;2010-06-14T07:38:53+01:00;Wait;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Barbara
1-379789104;2010-06-14T14:34:32+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Barbara
1-379789104;2010-06-14T14:57:51+01:00;Wait;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Barbara
1-379789104;2010-06-15T07:41:34+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Barbara
1-379789104;2010-06-15T08:43:03+01:00;Wait;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Barbara
1-379789104;2012-03-28T13:42:34+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Barbara
1-379789104;2012-03-28T13:45:28+01:00;Closed;Completed;Medium;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Barbara
1-380297615;2010-06-15T11:58:18+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD287;cn;Sweden;Tomas
1-380297615;2010-07-20T08:31:54+01:00;Assigned;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD287;cn;Sweden;Tomas
1-380297615;2011-09-03T06:38:14+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD287;cn;Sweden;Tomas
1-380297615;2012-05-04T15:43:47+01:00;Wait;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD287;cn;Sweden;Tomas
1-380297615;2012-05-04T15:49:36+01:00;Closed;Completed;Medium;Org line A2;A2_2;M1 2nd;PROD287;cn;Sweden;Tomas
1-380392616;2010-06-15T15:37:49+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-380392616;2010-06-15T15:46:08+01:00;Awaiting Assignment;Queued;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-380392616;2010-06-15T15:50:16+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;Sweden;Kannan
1-380392616;2010-06-15T15:50:22+01:00;Assigned;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-380392616;2010-08-27T18:14:48+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G21 2nd;PROD98;us;Sweden;Kannan
1-380392616;2010-08-27T18:14:57+01:00;Assigned;Accepted;Medium;Org line A2;A2_2;G21 2nd;PROD98;us;Sweden;Y
1-380392616;2010-09-02T09:36:22+01:00;Wait;Accepted;Medium;Org line A2;A2_2;G21 2nd;PROD98;us;Sweden;Y
1-380392616;2011-02-09T12:05:52+01:00;Awaiting Assignment;Queued;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-380392616;2011-02-16T11:53:01+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;Sweden;Padmanabha
1-380392616;2011-02-16T11:53:25+01:00;Assigned;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-380392616;2012-02-04T09:20:39+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-380392616;2012-02-04T10:19:57+01:00;Closed;Completed;Medium;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-380527184;2010-06-16T08:45:30+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-380527184;2010-06-16T08:49:44+01:00;Awaiting Assignment;Queued;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-380527184;2010-06-16T14:23:30+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;Sweden;Kannan
1-380527184;2010-06-16T14:23:35+01:00;Assigned;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-380527184;2010-06-17T19:19:15+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G21 2nd;PROD98;us;Sweden;Kannan
1-380527184;2010-06-17T19:19:20+01:00;Assigned;Accepted;Medium;Org line A2;A2_2;G21 2nd;PROD98;us;Sweden;Y
1-380527184;2010-06-18T13:01:56+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G21 2nd;PROD98;us;Sweden;Y
1-380527184;2010-06-21T10:35:08+01:00;Awaiting Assignment;Queued;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-380527184;2010-06-21T16:55:02+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;Sweden;Naga
1-380527184;2010-06-21T17:00:14+01:00;Assigned;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-380527184;2012-02-04T10:20:08+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-380527184;2012-02-04T10:31:43+01:00;Closed;Completed;Medium;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-380632889;2010-06-16T15:09:45+01:00;In Progress;Accepted;High;Org line G4;;S29 2nd;PROD551;se;Sweden;David
1-380632889;2010-08-16T11:24:39+01:00;Awaiting Assignment;Queued;High;Org line G4;;S29 2nd;PROD551;se;Sweden;David
1-380632889;2010-08-17T16:19:11+01:00;In Progress;Accepted;High;Org line G4;;S29 2nd;PROD551;se;Sweden;Fredrik
1-380632889;2010-12-13T10:31:55+01:00;Wait;Accepted;High;Org line G4;;S29 2nd;PROD551;se;Sweden;Fredrik
1-380632889;2011-06-27T11:22:34+01:00;Assigned;Accepted;High;Org line A2;A2_3;S35 2nd;PROD551;se;Sweden;Ingemar
1-380632889;2011-06-27T11:31:34+01:00;Wait;Accepted;High;Org line A2;A2_3;S35 2nd;PROD551;se;Sweden;Fredrik
1-380632889;2012-01-12T13:16:07+01:00;In Progress;Accepted;High;Org line A2;A2_3;S35 2nd;PROD551;se;Sweden;Fredrik
1-380632889;2012-01-12T13:17:41+01:00;Closed;Completed;High;Org line A2;A2_3;S35 2nd;PROD551;se;Sweden;Fredrik
1-380654568;2010-06-16T14:15:09+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-380654568;2010-06-16T14:18:36+01:00;Awaiting Assignment;Queued;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-380654568;2010-06-16T14:29:26+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;Sweden;Kannan
1-380654568;2010-06-16T14:29:31+01:00;Assigned;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-380654568;2011-12-30T11:09:26+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-380654568;2012-01-30T12:31:24+01:00;Closed;Completed;Medium;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-380885044;2010-06-17T12:47:35+01:00;In Progress;Accepted;Medium;Org line A2;D_1;L50 3rd;PROD611;in;Sweden;Sriram
1-380885044;2010-11-19T07:46:00+01:00;Wait;Accepted;Medium;Org line A2;D_1;L50 3rd;PROD611;in;Sweden;Sriram
1-380885044;2010-11-26T08:09:31+01:00;In Progress;Accepted;Medium;Org line A2;D_1;L50 3rd;PROD611;in;Sweden;Sriram
1-380885044;2010-11-26T08:09:39+01:00;Closed;Completed;Medium;Org line A2;D_1;L50 3rd;PROD611;in;Sweden;Sriram
1-380885044;2010-12-16T16:27:03+01:00;In Progress;Accepted;Medium;Org line A2;D_1;L50 3rd;PROD611;in;Sweden;Sriram
1-380885044;2011-05-16T14:34:01+01:00;In Progress;Accepted;Medium;Org line A2;D_1;L50 3rd;PROD611;in;Sweden;Harikumar
1-380885044;2012-03-30T16:11:00+01:00;Closed;Completed;Medium;Org line A2;D_1;L50 3rd;PROD611;in;Sweden;Harikumar
1-381124870;2010-06-18T07:42:27+01:00;In Progress;Accepted;High;Org line G4;;S33 2nd;PROD368;se;Sweden;Mikael
1-381124870;2010-06-18T07:45:02+01:00;Assigned;Accepted;High;Org line G4;;S33 2nd;PROD368;se;Sweden;Mikael
1-381124870;2010-06-28T10:02:56+01:00;In Progress;Accepted;High;Org line G4;;S33 2nd;PROD368;se;Sweden;Mikael
1-381124870;2010-09-01T11:09:24+01:00;Wait;Accepted;High;Org line G4;;S33 2nd;PROD368;se;Sweden;Mikael
1-381124870;2012-01-24T19:02:38+01:00;Closed;Completed;High;Org line G4;;S33 2nd;PROD368;se;Sweden;Mikael
1-382209384;2010-06-23T13:13:51+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD681;se;Sweden;Tomas
1-382209384;2011-09-03T06:46:51+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD681;se;Sweden;Tomas
1-382209384;2011-11-14T16:10:10+01:00;Assigned;Accepted;Medium;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-382209384;2012-03-08T10:29:26+01:00;In Progress;Accepted;Medium;Org line F;;N10 2nd;PROD681;se;Sweden;Martin
1-382209384;2012-03-08T10:30:46+01:00;Closed;Completed;Medium;Org line F;;N10 2nd;PROD681;se;Sweden;Martin
1-382442048;2010-06-24T11:41:19+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-382442048;2010-06-24T11:45:02+01:00;Awaiting Assignment;Queued;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-382442048;2010-06-24T13:18:38+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;Sweden;Naga
1-382442048;2010-06-24T13:19:43+01:00;Wait;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;Sweden;Naga
1-382442048;2010-06-24T13:21:20+01:00;Assigned;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-382442048;2012-02-04T10:27:58+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-382442048;2012-02-04T10:30:03+01:00;Closed;Completed;Medium;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-383789251;2010-07-01T11:20:33+01:00;In Progress;Accepted;Medium;Org line G4;;S28 2nd;PROD633;se;Sweden;Susanne
1-383789251;2012-01-09T15:31:04+01:00;Closed;Completed;Medium;Org line G4;;S28 2nd;PROD633;se;Sweden;Susanne
1-384097130;2010-07-02T12:43:45+01:00;In Progress;Accepted;Medium;Org line C;C_6;M5 2nd;PROD660;se;Sweden;Jacob
1-384097130;2010-07-06T14:07:31+01:00;In Progress;Accepted;Medium;Org line C;C_6;M5 2nd;PROD660;se;Sweden;Jacob
1-384097130;2010-07-22T08:34:35+01:00;Awaiting Assignment;Queued;Medium;Org line C;E_10;G140 2nd;PROD660;se;Sweden;Mårten
1-384097130;2010-07-22T08:43:19+01:00;Awaiting Assignment;Queued;Medium;Org line C;E_10;G140 2nd;PROD660;se;Sweden;Mårten
1-384097130;2010-07-22T08:43:20+01:00;Assigned;Accepted;Medium;Org line C;E_10;G140 2nd;PROD660;se;Sweden;David
1-384097130;2010-07-22T13:16:40+01:00;In Progress;Accepted;Medium;Org line C;C_6;G141 3rd;PROD660;se;Sweden;David
1-384097130;2010-07-23T17:20:27+01:00;Assigned;Accepted;Medium;Org line C;C_6;G141 3rd;PROD660;se;Sweden;Mikael
1-384097130;2010-07-26T08:55:13+01:00;Assigned;Accepted;Medium;Org line C;C_6;G141 3rd;PROD660;se;Sweden;Per
1-384097130;2010-08-06T15:45:05+01:00;Assigned;Accepted;Medium;Org line C;C_6;G141 3rd;PROD660;se;Sweden;Mikael
1-384097130;2011-03-10T16:02:06+01:00;Assigned;Accepted;Medium;Org line C;C_6;G141 3rd;PROD660;se;Sweden;Jonas
1-384097130;2011-03-29T09:44:20+01:00;In Progress;Accepted;Medium;Org line C;C_6;G141 3rd;PROD660;se;Sweden;Jonas
1-384097130;2011-04-13T14:23:07+01:00;Wait;Accepted;Medium;Org line C;C_6;G141 3rd;PROD660;se;Sweden;Jonas
1-384097130;2011-05-03T10:39:43+01:00;Assigned;Accepted;Medium;Org line C;C_6;G141 3rd;PROD660;se;Sweden;Mattias
1-384097130;2011-09-14T11:04:32+01:00;In Progress;Accepted;Medium;Org line C;C_6;G141 3rd;PROD660;se;Sweden;Jonny
1-384097130;2011-12-27T09:22:53+01:00;Assigned;Accepted;Medium;Org line C;C_6;G141 3rd;PROD660;se;Sweden;Erik
1-384097130;2011-12-27T09:37:48+01:00;Wait;Accepted;Medium;Org line C;C_6;G141 3rd;PROD660;se;Sweden;Erik
1-384097130;2012-02-17T16:27:41+01:00;Closed;Completed;Medium;Org line C;C_6;G141 3rd;PROD660;se;Sweden;Erik
1-384757914;2010-07-06T08:43:18+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-384757914;2010-07-06T08:49:13+01:00;Awaiting Assignment;Queued;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-384757914;2010-07-06T19:36:46+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;Sweden;Naga
1-384757914;2010-07-06T19:42:20+01:00;Assigned;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-384757914;2011-03-16T17:45:07+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;0;Renee
1-384757914;2011-03-16T17:45:08+01:00;Closed;Completed;Medium;Org line G3;;G199 3rd;PROD98;us;0;Renee
1-384757914;2011-04-07T12:41:01+01:00;In Progress;Accepted;Medium;Org line G3;;G199 3rd;PROD98;us;Sweden;Santhosh
1-384757914;2011-04-07T12:43:44+01:00;Awaiting Assignment;Queued;Medium;Org line A2;A2_2;G21 2nd;PROD98;us;Sweden;Hannes
1-384757914;2011-04-08T11:08:24+01:00;Assigned;Accepted;Medium;Org line A2;A2_2;G21 2nd;PROD98;us;Sweden;Y
1-384757914;2011-04-08T11:26:56+01:00;Awaiting Assignment;Queued;Medium;Org line G3;;G199 3rd;PROD98;us;USA;Carolyn
1-384757914;2011-04-08T14:19:05+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G21 2nd;PROD98;us;Sweden;Santhosh
1-384757914;2011-04-08T14:19:54+01:00;Assigned;Accepted;Medium;Org line A2;A2_2;G21 2nd;PROD98;us;USA;Carolyn
