Problem Number;Problem Latest Impact;Problem Change Date+Time;Problem Status;Problem Sub Status;Problem Involved ST Org line 3;Problem Involved ST Function Div;Problem Involved Owner ST;Product;Country;Problem Involved Action Owner Country;Problem Involved Action Owner First Name
1-612515539;High;2011-11-19T20:37:42+01:00;Queued;Awaiting Assignment;Org line C;E_10;G271 2nd;PROD802;se;Sweden;Praveen
1-612515539;High;2011-11-21T08:07:43+01:00;Queued;Awaiting Assignment;Org line C;C_6;G273 3rd;PROD802;se;Sweden;Martin
1-613033122;Medium;2011-11-21T09:34:45+01:00;Accepted;In Progress;Org line G4;;S33 2nd;PROD374;se;Sweden;Roland
1-613033122;Medium;2011-11-28T16:12:09+01:00;Accepted;Wait;Org line G4;;S33 2nd;PROD374;se;Sweden;Roland
1-613033122;Medium;2011-12-05T20:38:55+01:00;Accepted;In Progress;Org line G4;;S33 2nd;PROD374;se;Sweden;Roland
1-613033122;Medium;2012-02-08T21:42:42+01:00;Completed;Closed;Org line G4;;S33 2nd;PROD374;se;Sweden;Roland
1-613364032;Medium;2012-02-21T11:11:30+01:00;Queued;Awaiting Assignment;Org line C;E_7;G162 2nd;PROD671;in;INDIA;-
1-616288482;Medium;2011-11-24T14:07:54+01:00;Accepted;In Progress;Org line C;E_4;G88 2nd;PROD348;us;USA;Robert
1-616288482;Medium;2011-11-24T14:08:48+01:00;Accepted;In Progress;Org line C;E_4;G88 2nd;PROD348;us;USA;Robert
1-616288482;Medium;2011-11-24T14:16:44+01:00;Accepted;Wait;Org line C;E_4;G88 2nd;PROD348;us;USA;Robert
1-616288482;Medium;2011-11-24T14:20:36+01:00;Accepted;Assigned;Org line C;E_4;G88 2nd;PROD348;us;USA;Robert
1-616409083;Medium;2011-11-24T17:30:30+01:00;Accepted;In Progress;Org line C;E_8;G186 2nd;PROD473;in;Sweden;Jonas
1-616409083;Medium;2012-02-15T12:26:06+01:00;Completed;Closed;Org line C;E_8;G186 2nd;PROD473;in;Sweden;Jonas
1-616409083;Medium;2012-02-15T15:54:41+01:00;Accepted;In Progress;Org line C;E_8;G186 2nd;PROD473;in;Sweden;Jonas
1-616409083;Medium;2012-02-15T16:12:50+01:00;Completed;Closed;Org line C;E_8;G186 2nd;PROD473;in;Sweden;Jonas
1-616977258;Low;2011-11-25T12:33:57+01:00;Accepted;In Progress;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-616977258;Low;2012-01-05T11:31:53+01:00;Accepted;Assigned;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-616977258;Low;2012-04-23T10:06:44+01:00;Accepted;In Progress;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-616977258;Low;2012-04-23T10:07:42+01:00;Completed;Closed;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-616993936;Medium;2011-11-25T11:23:38+01:00;Accepted;In Progress;Org line C;E_10;G138 2nd;PROD659;se;Sweden;Ann-Charlotte
1-616993936;Medium;2011-11-25T11:28:42+01:00;Queued;Awaiting Assignment;Org line C;E_10;G138 2nd;PROD659;se;Sweden;Ann-Charlotte
1-616993936;Medium;2011-11-25T11:32:07+01:00;Queued;Awaiting Assignment;Org line C;E_10;G138 2nd;PROD659;se;Sweden;Ann-Charlotte
1-617049384;High;2011-11-25T15:08:25+01:00;Accepted;In Progress;Org line C;C_6;G268 3rd;PROD805;se;Sweden;Vesa
1-617049384;High;2012-01-23T10:11:18+01:00;Completed;Closed;Org line C;C_6;G268 3rd;PROD805;se;Sweden;Vesa
1-617084616;Medium;2011-11-25T16:02:27+01:00;Accepted;In Progress;Org line G4;;S33 2nd;PROD374;se;Sweden;Roland
1-617084616;Medium;2011-12-05T08:23:00+01:00;Accepted;Wait;Org line G4;;S33 2nd;PROD374;se;Sweden;Roland
1-617084616;Medium;2012-02-08T21:55:10+01:00;Completed;Closed;Org line G4;;S33 2nd;PROD374;se;Sweden;Roland
1-617356985;Medium;2011-11-28T09:22:46+01:00;Accepted;In Progress;Org line C;E_4;G88 2nd;PROD793;us;USA;Robert
1-617356985;Medium;2011-11-29T09:48:55+01:00;Completed;Closed;Org line C;E_4;G88 2nd;PROD793;us;USA;Robert
1-617356985;Medium;2012-02-08T02:42:36+01:00;Accepted;In Progress;Org line C;E_4;G88 2nd;PROD793;us;USA;Robert
1-617356985;Medium;2012-02-08T03:04:57+01:00;Accepted;Wait;Org line C;E_4;G88 2nd;PROD793;us;USA;Robert
1-617356985;Medium;2012-03-07T12:54:59+01:00;Queued;Awaiting Assignment;Org line C;E_4;G88 2nd;PROD793;us;USA;Robert
1-617696569;Medium;2011-11-29T04:12:33+01:00;Accepted;In Progress;Org line C;E_4;G93 2nd;PROD325;in;INDIA;Freddy
1-617696569;Medium;2011-12-19T04:43:18+01:00;Completed;Closed;Org line C;E_4;G93 2nd;PROD325;in;INDIA;Freddy
1-617696569;Medium;2012-01-18T12:05:10+01:00;Accepted;In Progress;Org line C;E_4;G93 2nd;PROD325;in;INDIA;Freddy
1-617696569;Medium;2012-01-18T12:07:06+01:00;Completed;Closed;Org line C;E_4;G93 2nd;PROD325;in;INDIA;Freddy
1-617696569;Medium;2012-02-14T09:15:07+01:00;Accepted;In Progress;Org line C;E_4;G93 2nd;PROD325;in;INDIA;Freddy
1-617696569;Medium;2012-02-14T09:15:35+01:00;Completed;Closed;Org line C;E_4;G93 2nd;PROD325;in;INDIA;Freddy
1-618041243;High;2011-11-30T04:43:31+01:00;Accepted;In Progress;Org line A2;A2_1;T17 2nd;PROD350;se;Sweden;Britt
1-618041243;High;2011-11-30T08:37:56+01:00;Queued;Awaiting Assignment;Org line A2;A2_1;T17 2nd;PROD350;se;Sweden;Britt
1-618041243;High;2011-12-12T12:48:59+01:00;Accepted;In Progress;Org line A2;A2_1;J2 2nd;PROD350;se;Sweden;Britt
1-618041243;High;2011-12-12T14:52:54+01:00;Accepted;Wait;Org line A2;A2_1;J2 2nd;PROD350;se;Sweden;Britt
1-618041243;High;2012-01-19T16:18:51+01:00;Completed;Closed;Org line A2;A2_1;J2 2nd;PROD350;se;Sweden;Britt
1-618116069;Medium;2011-11-30T07:54:16+01:00;Accepted;In Progress;Org line A2;A2_1;T17 2nd;PROD350;se;Sweden;Britt
1-618116069;Medium;2011-11-30T08:14:54+01:00;Queued;Awaiting Assignment;Org line A2;A2_1;T17 2nd;PROD350;se;Sweden;Britt
1-618116069;Medium;2011-12-12T14:51:59+01:00;Accepted;In Progress;Org line A2;A2_1;J2 2nd;PROD350;se;Sweden;Britt
1-618116069;Medium;2011-12-12T14:52:05+01:00;Accepted;Wait;Org line A2;A2_1;J2 2nd;PROD350;se;Sweden;Britt
1-618116069;Medium;2012-01-19T16:30:17+01:00;Completed;Closed;Org line A2;A2_1;J2 2nd;PROD350;se;Sweden;Britt
1-618589528;High;2011-12-01T15:52:56+01:00;Accepted;In Progress;Org line A2;A2_1;G42 3rd;PROD236;gb;United Kingdom;Ian
1-618589528;High;2011-12-01T15:54:50+01:00;Accepted;Assigned;Org line A2;A2_1;G42 3rd;PROD236;gb;United Kingdom;Ian
1-618589528;High;2011-12-06T16:05:32+01:00;Accepted;In Progress;Org line A2;A2_1;G42 3rd;PROD236;gb;United Kingdom;Ian
1-619067777;Low;2011-12-02T10:46:41+01:00;Accepted;In Progress;Org line A2;A2_1;T17 2nd;PROD350;cn;Sweden;Britt
1-619067777;Low;2011-12-02T10:47:20+01:00;Queued;Awaiting Assignment;Org line A2;A2_1;T17 2nd;PROD350;cn;Sweden;Britt
1-619067777;Low;2011-12-12T14:52:12+01:00;Accepted;In Progress;Org line A2;A2_1;J2 2nd;PROD350;cn;Sweden;Britt
1-619067777;Low;2011-12-12T14:52:18+01:00;Accepted;Wait;Org line A2;A2_1;J2 2nd;PROD350;cn;Sweden;Britt
1-619109941;High;2011-12-06T11:35:01+01:00;Queued;Awaiting Assignment;Org line C;E_4;G88 2nd;PROD436;se;USA;Robert
1-619109941;High;2011-12-06T12:50:12+01:00;Accepted;In Progress;Org line C;E_10;G271 2nd;PROD436;se;Sweden;Praveen
1-619109941;High;2011-12-06T12:56:00+01:00;Queued;Awaiting Assignment;Org line C;C_6;G273 3rd;PROD436;se;Sweden;Martin
1-619109941;High;2012-01-30T14:13:13+01:00;Queued;Awaiting Assignment;Org line C;C_6;G273 3rd;PROD436;se;Sweden;Martin
1-619109941;High;2012-01-30T14:13:51+01:00;Queued;Awaiting Assignment;Org line C;C_6;G273 3rd;PROD436;se;Sweden;Martin
1-619109941;High;2012-01-30T14:17:46+01:00;Queued;Awaiting Assignment;Org line C;C_6;G273 3rd;PROD436;se;Sweden;Martin
1-619109941;High;2012-01-30T14:31:28+01:00;Accepted;In Progress;Org line C;C_6;G273 3rd;PROD436;se;Sweden;Pascal
1-619146141;Medium;2011-12-02T13:57:32+01:00;Queued;Awaiting Assignment;Org line C;C_6;G225 3rd;PROD13;fr;France;Olivier
1-619254483;High;2011-12-02T15:37:58+01:00;Accepted;In Progress;Org line A2;A2_4;G118 2nd;PROD591;se;Sweden;Maria
1-619254483;High;2012-01-10T10:11:14+01:00;Completed;Closed;Org line A2;A2_4;G118 2nd;PROD591;se;Sweden;Maria
1-619699161;High;2011-12-05T13:01:36+01:00;Accepted;In Progress;Org line A2;A2_3;S21 2nd;PROD231;se;Sweden;Viktoria
1-619699161;High;2011-12-05T13:13:30+01:00;Queued;Awaiting Assignment;Org line A2;A2_3;S21 2nd;PROD231;se;Sweden;Viktoria
1-619699161;High;2011-12-06T08:28:52+01:00;Accepted;In Progress;Org line A2;A2_3;S21 2nd;PROD231;se;Sweden;Kristina
1-619699161;High;2011-12-06T09:41:47+01:00;Completed;Closed;Org line A2;A2_3;S21 2nd;PROD231;se;Sweden;Kristina
1-619699161;High;2012-01-30T13:40:16+01:00;Accepted;Assigned;Org line G4;;S30 2nd;PROD231;se;Sweden;David
1-619699161;High;2012-02-01T20:50:03+01:00;Accepted;In Progress;Org line G4;;S30 2nd;PROD231;se;Sweden;David
1-619699161;High;2012-02-01T20:51:19+01:00;Completed;Closed;Org line G4;;S30 2nd;PROD231;se;Sweden;David
1-620015297;Medium;2011-12-06T07:51:12+01:00;Accepted;In Progress;Org line G4;;S33 2nd;PROD374;se;Sweden;Rickard
1-620015297;Medium;2012-02-08T14:12:13+01:00;Completed;Closed;Org line G4;;S33 2nd;PROD374;se;Sweden;Rickard
1-620432583;High;2011-12-07T05:38:29+01:00;Accepted;In Progress;Org line A2;A2_1;T17 2nd;PROD350;se;Sweden;Britt
1-620432583;High;2011-12-07T05:39:00+01:00;Queued;Awaiting Assignment;Org line A2;A2_1;T17 2nd;PROD350;se;Sweden;Britt
1-620432583;High;2011-12-12T14:51:36+01:00;Accepted;In Progress;Org line A2;A2_1;J2 2nd;PROD350;se;Sweden;Britt
1-620432583;High;2011-12-12T14:51:48+01:00;Accepted;Wait;Org line A2;A2_1;J2 2nd;PROD350;se;Sweden;Britt
1-620432583;High;2012-01-19T15:53:52+01:00;Accepted;In Progress;Org line A2;A2_1;J2 2nd;PROD350;se;Sweden;Britt
1-620432583;High;2012-01-19T16:05:09+01:00;Completed;Closed;Org line A2;A2_1;J2 2nd;PROD350;se;Sweden;Britt
1-620483711;Medium;2011-12-07T09:12:52+01:00;Accepted;In Progress;Org line C;E_10;G271 2nd;PROD802;se;Sweden;Praveen
1-620483711;Medium;2011-12-07T09:27:06+01:00;Queued;Awaiting Assignment;Org line C;E_10;G271 2nd;PROD802;se;Sweden;Praveen
1-620483711;Medium;2011-12-08T08:57:49+01:00;Queued;Awaiting Assignment;Org line C;C_6;G273 3rd;PROD802;se;Sweden;Martin
1-620483711;Medium;2011-12-14T12:58:14+01:00;Accepted;In Progress;Org line C;C_6;G273 3rd;PROD802;se;Sweden;Martin
1-620925267;High;2011-12-08T11:10:07+01:00;Accepted;In Progress;Org line A2;A2_1;G42 3rd;PROD236;gb;United Kingdom;Ian
1-620925267;High;2011-12-08T11:19:05+01:00;Accepted;Assigned;Org line A2;A2_1;G42 3rd;PROD236;gb;United Kingdom;Ian
1-620925267;High;2011-12-13T12:56:25+01:00;Accepted;In Progress;Org line A2;A2_1;G42 3rd;PROD236;gb;United Kingdom;Ian
1-621039603;Medium;2011-12-08T12:59:55+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-621039603;Medium;2012-01-04T16:43:32+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-621311061;Medium;2011-12-09T08:18:16+01:00;Accepted;In Progress;Org line D;D_2;G121 2nd;PROD597;in;Sweden;Bikshamaiah
1-621311061;Medium;2011-12-09T08:22:15+01:00;Completed;Closed;Org line D;D_2;G121 2nd;PROD597;in;Sweden;Bikshamaiah
1-621311061;Medium;2011-12-12T11:34:36+01:00;Accepted;In Progress;Org line D;D_2;G121 2nd;PROD597;in;Sweden;Bikshamaiah
1-621311061;Medium;2011-12-12T11:38:44+01:00;Accepted;In Progress;Org line D;D_2;G121 2nd;PROD597;in;Sweden;Bikshamaiah
1-621311061;Medium;2011-12-21T12:01:07+01:00;Completed;Closed;Org line D;D_2;G121 2nd;PROD597;in;Sweden;Bikshamaiah
1-621311061;Medium;2012-01-06T11:08:42+01:00;Accepted;In Progress;Org line C;E_8;G119 2nd;PROD597;in;Sweden;Bikshamaiah
1-621311061;Medium;2012-01-06T11:09:47+01:00;Completed;Closed;Org line C;E_8;G119 2nd;PROD597;in;Sweden;Bikshamaiah
1-621311061;Medium;2012-01-06T13:35:53+01:00;Accepted;In Progress;Org line C;E_8;G119 2nd;PROD597;in;Sweden;Bikshamaiah
1-621311061;Medium;2012-02-17T10:12:40+01:00;Completed;Closed;Org line C;E_8;G119 2nd;PROD597;in;Sweden;Bikshamaiah
1-621322866;Medium;2011-12-09T08:13:39+01:00;Accepted;In Progress;Org line C;C_6;G290 3rd;PROD154;se;Sweden;Mikael
1-621322866;Medium;2012-01-17T14:00:57+01:00;Completed;Closed;Org line C;C_6;G290 3rd;PROD154;se;Sweden;Mikael
1-621393223;Medium;2011-12-09T11:38:35+01:00;Accepted;In Progress;Org line C;E_1;G55 2nd;PROD745;br;Belgium;Peter
1-621393223;Medium;2011-12-09T12:33:04+01:00;Queued;Awaiting Assignment;Org line C;E_1;G55 2nd;PROD745;br;Belgium;Peter
1-621393223;Medium;2011-12-09T12:44:12+01:00;Queued;Awaiting Assignment;Org line C;C_1;G56 3rd;PROD745;br;Belgium;Peter
1-621393223;Medium;2011-12-09T13:31:39+01:00;Accepted;Assigned;Org line C;C_1;G56 3rd;PROD745;br;Sweden;Marie
1-621393223;Medium;2012-04-20T16:34:45+01:00;Accepted;In Progress;Org line B;E_6;S4 2nd;PROD745;br;Brazil;Thiago
1-621393223;Medium;2012-04-20T16:34:51+01:00;Completed;Closed;Org line B;E_6;S4 2nd;PROD745;br;Brazil;Thiago
1-622295317;Medium;2011-12-12T15:33:32+01:00;Accepted;In Progress;Org line A2;A2_2;G22 2nd;PROD631;fr;France;Frederic
1-622295317;Medium;2012-03-02T11:22:18+01:00;Accepted;Wait;Org line A2;A2_2;G22 2nd;PROD631;fr;France;Frederic
1-622295317;Medium;2012-03-22T15:45:50+01:00;Completed;Closed;Org line A2;A2_2;G22 2nd;PROD631;fr;France;Frederic
1-622618613;Low;2011-12-13T04:07:15+01:00;Accepted;In Progress;Org line A2;A2_1;T17 2nd;PROD350;se;Sweden;Britt
1-622618613;Low;2011-12-13T04:07:39+01:00;Queued;Awaiting Assignment;Org line A2;A2_1;T17 2nd;PROD350;se;Sweden;Britt
1-622618613;Low;2011-12-13T07:11:12+01:00;Accepted;In Progress;Org line A2;A2_1;J2 2nd;PROD350;se;Sweden;Britt
1-622618613;Low;2011-12-13T07:11:20+01:00;Accepted;Wait;Org line A2;A2_1;J2 2nd;PROD350;se;Sweden;Britt
1-622618613;Low;2012-01-19T16:38:31+01:00;Completed;Closed;Org line A2;A2_1;J2 2nd;PROD350;se;Sweden;Britt
1-622652886;Low;2011-12-13T09:52:25+01:00;Accepted;In Progress;Org line C;E_8;G119 2nd;PROD597;in;Sweden;Bikshamaiah
1-622652886;Low;2012-04-30T16:41:11+01:00;Completed;Closed;Org line C;E_8;G119 2nd;PROD597;in;Sweden;Bikshamaiah
1-622783644;Low;2011-12-13T10:19:11+01:00;Accepted;In Progress;Org line C;E_4;G89 2nd;PROD436;in;INDIA;Sameer
1-622783644;Low;2011-12-26T13:32:16+01:00;Accepted;Wait;Org line C;E_4;G89 2nd;PROD436;in;INDIA;Sameer
1-622783644;Low;2012-05-18T08:01:25+01:00;Accepted;In Progress;Org line C;E_4;G89 2nd;PROD436;in;INDIA;Sameer
1-622783644;Low;2012-05-18T08:02:02+01:00;Completed;Closed;Org line C;E_4;G89 2nd;PROD436;in;INDIA;Sameer
1-622847448;Medium;2011-12-13T15:36:57+01:00;Accepted;In Progress;Org line A2;A2_4;G105 2nd;PROD337;se;Sweden;Venkata
1-622847448;Medium;2012-03-13T14:23:34+01:00;Accepted;Assigned;Org line A2;A2_4;G105 2nd;PROD337;se;Sweden;Venkata
1-622856843;High;2011-12-13T11:27:52+01:00;Accepted;In Progress;Org line C;;V34 2nd;PROD424;fr;France;Michel
1-622856843;High;2012-01-24T09:29:10+01:00;Completed;Closed;Org line C;;V34 2nd;PROD424;fr;France;Michel
1-622940906;High;2011-12-13T13:52:14+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-622940906;High;2012-01-13T10:07:55+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-622940906;High;2012-01-17T11:10:00+01:00;Completed;Closed;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-623873811;High;2011-12-14T16:16:05+01:00;Accepted;In Progress;Org line C;E_10;G288 2nd;PROD408;us;Sweden;Rakesh
1-623873811;High;2011-12-14T16:16:44+01:00;Queued;Awaiting Assignment;Org line C;E_10;G288 2nd;PROD408;us;Sweden;Rakesh
1-623873811;High;2012-01-25T16:21:33+01:00;Accepted;In Progress;Org line C;V3_3;N22 2nd;PROD408;us;USA;Kymaria
1-623873811;High;2012-01-25T16:23:52+01:00;Accepted;Wait;Org line C;V3_3;N22 2nd;PROD408;us;USA;Kymaria
1-623873811;High;2012-02-17T17:02:19+01:00;Completed;Closed;Org line C;V3_3;N22 2nd;PROD408;us;USA;Kymaria
1-624219528;Low;2011-12-15T10:55:26+01:00;Accepted;In Progress;Org line G4;;S33 2nd;PROD374;se;Sweden;Rickard
1-624219528;Low;2012-03-27T10:36:54+01:00;Completed;Closed;Org line G4;;S33 2nd;PROD374;se;Sweden;Rickard
1-624403918;Medium;2012-01-10T13:26:31+01:00;Queued;Awaiting Assignment;Org line C;E_10;G276 2nd;PROD698;in;Sweden;Prasad
1-624450715;High;2011-12-15T15:23:36+01:00;Accepted;In Progress;Org line C;E_6;G48 2nd;PROD148;se;Sweden;Mikael
1-624450715;High;2011-12-15T15:23:45+01:00;Accepted;Wait;Org line C;E_6;G48 2nd;PROD148;se;Sweden;Mikael
1-624450715;High;2012-03-30T13:07:57+01:00;Completed;Closed;Org line C;E_6;G48 2nd;PROD148;se;Sweden;Mikael
1-624745314;High;2011-12-16T09:51:26+01:00;Accepted;In Progress;Org line G4;;S33 2nd;PROD374;se;Sweden;Rickard
1-624745314;High;2012-02-08T14:15:41+01:00;Completed;Closed;Org line G4;;S33 2nd;PROD374;se;Sweden;Rickard
1-625322174;Major;2011-12-17T12:18:28+01:00;Accepted;In Progress;Org line C;C_6;G225 3rd;PROD793;fr;France;Olivier
1-625322174;Major;2011-12-17T12:19:36+01:00;Queued;Awaiting Assignment;Org line C;C_6;G225 3rd;PROD793;fr;France;Olivier
1-625459293;Low;2011-12-19T03:13:32+01:00;Accepted;In Progress;Org line A2;A2_1;T17 2nd;PROD350;se;Sweden;Britt
1-625459293;Low;2011-12-19T03:14:22+01:00;Queued;Awaiting Assignment;Org line A2;A2_1;T17 2nd;PROD350;se;Sweden;Britt
1-625459293;Low;2012-01-05T14:08:46+01:00;Accepted;In Progress;Org line A2;A2_1;J2 2nd;PROD350;se;Sweden;Britt
1-625459293;Low;2012-01-05T14:25:39+01:00;Accepted;Wait;Org line A2;A2_1;J2 2nd;PROD350;se;Sweden;Britt
1-625459293;Low;2012-01-19T16:33:55+01:00;Completed;Closed;Org line A2;A2_1;J2 2nd;PROD350;se;Sweden;Britt
1-626515794;High;2011-12-20T14:07:40+01:00;Accepted;In Progress;Org line A2;A2_1;G42 3rd;PROD236;gb;United Kingdom;Ian
1-626515794;High;2011-12-20T14:26:59+01:00;Accepted;Assigned;Org line A2;A2_1;G42 3rd;PROD236;gb;United Kingdom;Ian
1-626515794;High;2011-12-23T15:33:36+01:00;Accepted;Assigned;Org line A2;A2_1;G42 3rd;PROD236;gb;United Kingdom;Ian
1-627630611;Medium;2011-12-21T15:43:03+01:00;Accepted;In Progress;Org line C;E_10;G285 2nd;PROD646;se;Sweden;Leif
1-627630611;Medium;2011-12-21T15:46:04+01:00;Queued;Awaiting Assignment;Org line C;E_10;G285 2nd;PROD646;se;Sweden;Leif
1-628078553;Medium;2011-12-22T13:59:52+01:00;Accepted;In Progress;Org line A2;A2_4;G105 2nd;PROD337;se;Sweden;Vikrant
1-628078553;Medium;2012-04-19T16:42:44+01:00;Completed;Closed;Org line A2;A2_4;G105 2nd;PROD337;se;Sweden;Vikrant
1-628105478;High;2011-12-22T14:57:58+01:00;Accepted;In Progress;Org line G4;;G51 2nd;PROD337;se;Sweden;Ing-Marie
1-628105478;High;2012-02-02T12:54:54+01:00;Accepted;Assigned;Org line G4;;G51 2nd;PROD337;se;Sweden;Ing-Marie
1-628203323;Low;2011-12-22T17:18:37+01:00;Accepted;In Progress;Org line C;E_7;G165 2nd;PROD424;in;INDIA;-
1-628203323;Low;2011-12-22T17:21:45+01:00;Accepted;In Progress;Org line C;E_7;G165 2nd;PROD424;in;INDIA;-
1-628203323;Low;2011-12-26T16:36:48+01:00;Accepted;Assigned;Org line C;E_7;G165 2nd;PROD424;in;INDIA;Rajkishore
1-628203323;Low;2011-12-27T11:05:29+01:00;Accepted;In Progress;Org line C;E_7;G165 2nd;PROD424;in;INDIA;Rajkishore
1-628203323;Low;2012-01-17T21:43:17+01:00;Accepted;Wait;Org line C;E_7;G165 2nd;PROD424;in;INDIA;Rajkishore
1-628203323;Low;2012-04-03T21:11:09+01:00;Accepted;In Progress;Org line C;E_7;G165 2nd;PROD424;in;INDIA;Rajkishore
1-628203323;Low;2012-05-08T02:29:27+01:00;Completed;Closed;Org line C;E_7;G165 2nd;PROD424;in;INDIA;Rajkishore
1-628669941;Low;2011-12-23T10:46:51+01:00;Accepted;In Progress;Org line C;E_7;G160 2nd;PROD673;se;Sweden;Peter
1-628669941;Low;2012-01-02T09:24:05+01:00;Completed;Closed;Org line C;E_7;G160 2nd;PROD673;se;Sweden;Peter
1-631001113;Medium;2011-12-29T13:34:26+01:00;Accepted;In Progress;Org line A2;A2_4;G118 2nd;PROD591;se;Sweden;Maria
1-631001113;Medium;2012-01-02T08:23:31+01:00;Completed;Closed;Org line A2;A2_4;G118 2nd;PROD591;se;Sweden;Maria
1-631117870;High;2011-12-30T00:45:55+01:00;Accepted;In Progress;Org line C;E_4;G88 2nd;PROD793;us;USA;Robert
1-631117870;High;2011-12-30T00:47:40+01:00;Accepted;Wait;Org line C;E_4;G88 2nd;PROD793;us;USA;Robert
1-631117870;High;2011-12-30T00:49:46+01:00;Accepted;Wait;Org line C;E_4;G88 2nd;PROD793;us;USA;Robert
1-631117870;High;2012-01-24T09:38:12+01:00;Queued;Awaiting Assignment;Org line C;E_4;G88 2nd;PROD793;us;USA;Robert
1-631117870;High;2012-03-07T13:19:55+01:00;Queued;Awaiting Assignment;Org line C;E_4;G88 2nd;PROD793;us;USA;Robert
1-631117870;High;2012-03-12T19:24:36+01:00;Accepted;In Progress;Org line C;E_4;G88 2nd;PROD793;us;Sweden;Vaibhav
1-631117870;High;2012-03-19T09:54:09+01:00;Completed;Closed;Org line C;E_4;G88 2nd;PROD793;us;Sweden;Vaibhav
1-634487640;Medium;2012-01-04T11:50:05+01:00;Accepted;In Progress;Org line A2;A2_4;G105 2nd;PROD337;se;Sweden;Vikrant
1-634487640;Medium;2012-01-25T14:31:46+01:00;Completed;Closed;Org line A2;A2_4;G105 2nd;PROD337;se;Sweden;Vikrant
1-634506651;Medium;2012-01-04T12:36:18+01:00;Accepted;In Progress;Org line C;V3_1;G346;PROD631;se;Sweden;Kjell
1-634506651;Medium;2012-01-04T12:53:35+01:00;Completed;Closed;Org line C;V3_1;G346;PROD631;se;Sweden;Kjell
1-634533656;Low;2012-01-04T13:02:22+01:00;Accepted;In Progress;Org line C;E_7;G160 2nd;PROD673;se;Sweden;Peter
1-634533656;Low;2012-01-09T13:11:00+01:00;Completed;Closed;Org line C;E_7;G160 2nd;PROD673;se;Sweden;Peter
1-635382525;Medium;2012-01-05T14:48:54+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-635382525;Medium;2012-01-10T15:36:47+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-636080278;Medium;2012-01-06T15:40:03+01:00;Accepted;In Progress;Org line C;E_10;G236 2nd;PROD494;us;Sweden;Prasad
1-636080278;Medium;2012-01-06T15:51:57+01:00;Queued;Awaiting Assignment;Org line C;E_10;G236 2nd;PROD494;us;Sweden;Prasad
1-636080278;Medium;2012-01-09T12:54:45+01:00;Queued;Awaiting Assignment;Org line C;E_10;G236 2nd;PROD494;us;Sweden;Prasad
1-636080278;Medium;2012-01-09T15:28:35+01:00;Accepted;In Progress;Org line C;E_10;G236 2nd;PROD494;us;Sweden;Jitender
1-636102195;Medium;2012-01-06T16:05:47+01:00;Accepted;In Progress;Org line C;E_4;G88 2nd;PROD793;us;USA;Robert
1-636102195;Medium;2012-01-06T16:15:10+01:00;Accepted;Wait;Org line C;E_4;G88 2nd;PROD793;us;USA;Robert
1-636102195;Medium;2012-01-21T03:17:23+01:00;Queued;Awaiting Assignment;Org line C;E_4;G88 2nd;PROD793;us;USA;Robert
1-636102195;Medium;2012-02-29T13:04:23+01:00;Accepted;Assigned;Org line C;E_4;G88 2nd;PROD793;us;INDIA;Hineesh
1-636102195;Medium;2012-03-05T16:30:53+01:00;Accepted;Wait;Org line C;E_4;G88 2nd;PROD793;us;INDIA;Hineesh
1-636102195;Medium;2012-03-28T16:51:35+01:00;Completed;Closed;Org line C;E_4;G88 2nd;PROD793;us;INDIA;Hineesh
1-636852199;Medium;2012-01-09T10:34:33+01:00;Accepted;Assigned;Org line A2;A2_3;N26 2nd;PROD791;pl;POLAND;Radoslaw
1-636931254;High;2012-01-09T10:19:06+01:00;Accepted;In Progress;Org line C;E_10;G263 2nd;PROD494;in;Sweden;Jitender
1-636931254;High;2012-01-09T10:21:20+01:00;Accepted;In Progress;Org line C;E_10;G263 2nd;PROD494;in;Sweden;Jitender
1-636931254;High;2012-01-09T11:44:21+01:00;Accepted;In Progress;Org line C;E_10;G263 2nd;PROD494;in;Sweden;Jitender
1-636931254;High;2012-01-09T11:45:27+01:00;Queued;Awaiting Assignment;Org line C;E_10;G236 2nd;PROD494;in;Sweden;Prasad
1-636931254;High;2012-01-09T11:45:51+01:00;Accepted;In Progress;Org line C;E_10;G263 2nd;PROD494;in;Sweden;Jitender
1-636931254;High;2012-01-09T11:46:05+01:00;Queued;Awaiting Assignment;Org line C;E_10;G236 2nd;PROD494;in;Sweden;Prasad
