case,event,startTime,completeTime
r1_396,Loan  application received,00:00.0,00:00.0
r1_396,Check  application  form completeness,16:11.5,16:11.5
r1_396,Appraise property,52:08.3,52:08.3
r1_396,Check credit history,19:56.8,19:56.8
r1_396,Assess loan risk,36:57.9,36:57.9
r1_396,Assess eligibility,45:01.9,45:01.9
r1_396,Reject application,45:50.5,45:50.5
r1_396,Loan application rejected,45:50.5,45:50.5
r1_317,Loan  application received,30:00.0,30:00.0
r1_317,Check  application  form completeness,01:05.7,01:05.7
r1_317,Appraise property,06:13.4,06:13.4
r1_317,Check credit history,49:00.0,49:00.0
r1_317,Assess loan risk,54:36.1,54:36.1
r1_317,Assess eligibility,32:48.6,32:48.6
r1_317,Reject application,40:00.3,40:00.3
r1_317,Loan application rejected,40:00.3,40:00.3
r1_237,Loan  application received,30:00.0,30:00.0
r1_237,Check  application  form completeness,38:32.4,38:32.4
r1_237,Return application back to applicant,20:09.6,20:09.6
r1_237,Receive updated application,24:23.3,24:23.3
r1_237,Check  application  form completeness,49:19.9,49:19.9
r1_237,Appraise property,51:38.4,51:38.4
r1_237,Check credit history,30:02.6,30:02.6
r1_237,Assess loan risk,48:02.8,48:02.8
r1_237,Assess eligibility,59:23.4,59:23.4
r1_237,Reject application,31:39.9,31:39.9
r1_237,Loan application rejected,31:39.9,31:39.9
r1_282,Loan  application received,00:00.0,00:00.0
r1_282,Check  application  form completeness,04:54.7,04:54.7
r1_282,Check credit history,06:26.1,06:26.1
r1_282,Assess loan risk,37:29.0,37:29.0
r1_282,Appraise property,58:37.2,58:37.2
r1_282,Assess eligibility,13:15.3,13:15.3
r1_282,Prepare acceptance pack,25:10.0,25:10.0
r1_282,Check if home insurance quote is requested,50:30.7,50:30.7
r1_282,Send home insurance quote,54:26.1,54:26.1
r1_282,Verify repayment agreement,04:12.0,04:12.0
r1_282,Cancel application,28:56.3,28:56.3
r1_282,Loan  application canceled,28:56.3,28:56.3
r1_371,Loan  application received,30:00.0,30:00.0
r1_371,Check  application  form completeness,56:04.3,56:04.3
r1_371,Appraise property,07:12.0,07:12.0
r1_371,Check credit history,07:42.7,07:42.7
r1_371,Assess loan risk,10:56.4,10:56.4
r1_371,Assess eligibility,53:45.1,53:45.1
r1_371,Prepare acceptance pack,37:31.9,37:31.9
r1_371,Check if home insurance quote is requested,57:11.6,57:11.6
r1_371,Send home insurance quote,23:55.8,23:55.8
r1_371,Verify repayment agreement,54:15.6,54:15.6
r1_371,Approve application,01:11.8,01:11.8
r1_371,Loan  application approved,01:11.8,01:11.8
r1_179,Loan  application received,30:00.0,30:00.0
r1_179,Check  application  form completeness,48:56.2,48:56.2
r1_179,Appraise property,12:21.7,12:21.7
r1_179,Check credit history,58:48.5,58:48.5
r1_179,Assess loan risk,17:42.6,17:42.6
r1_179,Assess eligibility,36:25.7,36:25.7
r1_179,Prepare acceptance pack,29:04.9,29:04.9
r1_179,Check if home insurance quote is requested,34:43.4,34:43.4
r1_179,Send home insurance quote,31:52.0,31:52.0
r1_179,Verify repayment agreement,00:10.1,00:10.1
r1_179,Cancel application,12:44.6,12:44.6
r1_179,Loan  application canceled,12:44.6,12:44.6
r1_99,Loan  application received,30:00.0,30:00.0
r1_99,Check  application  form completeness,55:04.4,55:04.4
r1_99,Check credit history,10:40.8,10:40.8
r1_99,Assess loan risk,18:53.1,18:53.1
r1_99,Appraise property,35:38.7,35:38.7
r1_99,Assess eligibility,39:14.2,39:14.2
r1_99,Reject application,42:39.4,42:39.4
r1_99,Loan application rejected,42:39.4,42:39.4
r1_115,Loan  application received,30:00.0,30:00.0
r1_115,Check  application  form completeness,59:33.6,59:33.6
r1_115,Appraise property,47:43.8,47:43.8
r1_115,Check credit history,13:58.7,13:58.7
r1_115,Assess loan risk,37:41.4,37:41.4
r1_115,Assess eligibility,56:33.0,56:33.0
r1_115,Reject application,39:01.0,39:01.0
r1_115,Loan application rejected,39:01.0,39:01.0
r1_280,Loan  application received,00:00.0,00:00.0
r1_280,Check  application  form completeness,09:44.9,09:44.9
r1_280,Appraise property,10:55.4,10:55.4
r1_280,Check credit history,12:15.1,12:15.1
r1_280,Assess loan risk,07:36.9,07:36.9
r1_280,Assess eligibility,09:31.2,09:31.2
r1_280,Reject application,12:55.4,12:55.4
r1_280,Loan application rejected,12:55.4,12:55.4
r1_67,Loan  application received,30:00.0,30:00.0
r1_67,Check  application  form completeness,54:40.6,54:40.6
r1_67,Check credit history,55:58.6,55:58.6
r1_67,Appraise property,27:16.3,27:16.3
r1_67,Assess loan risk,37:48.4,37:48.4
r1_67,Assess eligibility,39:15.5,39:15.5
r1_67,Reject application,42:54.4,42:54.4
r1_67,Loan application rejected,42:54.4,42:54.4
r1_409,Loan  application received,30:00.0,30:00.0
r1_409,Check  application  form completeness,34:14.8,34:14.8
r1_409,Check credit history,52:38.2,52:38.2
r1_409,Appraise property,01:43.2,01:43.2
r1_409,Assess loan risk,09:44.8,09:44.8
r1_409,Assess eligibility,10:40.5,10:40.5
r1_409,Prepare acceptance pack,25:52.6,25:52.6
r1_409,Check if home insurance quote is requested,35:59.3,35:59.3
r1_409,Send home insurance quote,51:55.8,51:55.8
r1_409,Verify repayment agreement,15:11.3,15:11.3
r1_409,Approve application,01:20.1,01:20.1
r1_409,Loan  application approved,01:20.1,01:20.1
r1_406,Loan  application received,00:00.0,00:00.0
r1_406,Check  application  form completeness,05:45.5,05:45.5
r1_406,Check credit history,27:56.7,27:56.7
r1_406,Appraise property,40:08.4,40:08.4
r1_406,Assess loan risk,24:21.0,24:21.0
r1_406,Assess eligibility,40:58.5,40:58.5
r1_406,Reject application,17:45.8,17:45.8
r1_406,Loan application rejected,17:45.8,17:45.8
r1_488,Loan  application received,00:00.0,00:00.0
r1_488,Check  application  form completeness,06:29.5,06:29.5
r1_488,Appraise property,07:38.2,07:38.2
r1_488,Check credit history,40:46.8,40:46.8
r1_488,Assess loan risk,15:39.3,15:39.3
r1_488,Assess eligibility,17:22.9,17:22.9
r1_488,Prepare acceptance pack,48:52.7,48:52.7
r1_488,Check if home insurance quote is requested,57:52.3,57:52.3
r1_488,Send home insurance quote,14:41.4,14:41.4
r1_488,Verify repayment agreement,32:19.8,32:19.8
r1_488,Approve application,13:24.4,13:24.4
r1_488,Loan  application approved,13:24.4,13:24.4
r1_213,Loan  application received,30:00.0,30:00.0
r1_213,Check  application  form completeness,22:37.8,22:37.8
r1_213,Check credit history,00:16.6,00:16.6
r1_213,Appraise property,07:11.5,07:11.5
r1_213,Assess loan risk,07:56.5,07:56.5
r1_213,Assess eligibility,40:51.8,40:51.8
r1_213,Reject application,03:07.3,03:07.3
r1_213,Loan application rejected,03:07.3,03:07.3
r1_278,Loan  application received,00:00.0,00:00.0
r1_278,Check  application  form completeness,31:07.1,31:07.1
r1_278,Appraise property,13:24.4,13:24.4
r1_278,Check credit history,26:47.8,26:47.8
r1_278,Assess loan risk,51:04.4,51:04.4
r1_278,Assess eligibility,21:31.6,21:31.6
r1_278,Reject application,25:56.1,25:56.1
r1_278,Loan application rejected,25:56.1,25:56.1
r1_384,Loan  application received,00:00.0,00:00.0
r1_384,Check  application  form completeness,12:20.2,12:20.2
r1_384,Appraise property,18:10.3,18:10.3
r1_384,Check credit history,49:10.8,49:10.8
r1_384,Assess loan risk,31:13.5,31:13.5
r1_384,Assess eligibility,45:50.2,45:50.2
r1_384,Reject application,47:01.6,47:01.6
r1_384,Loan application rejected,47:01.6,47:01.6
r1_453,Loan  application received,30:00.0,30:00.0
r1_453,Check  application  form completeness,50:55.5,50:55.5
r1_453,Return application back to applicant,28:02.8,28:02.8
r1_453,Receive updated application,07:29.3,07:29.3
r1_453,Check  application  form completeness,29:27.4,29:27.4
r1_453,Appraise property,33:54.8,33:54.8
r1_453,Check credit history,47:34.8,47:34.8
r1_453,Assess loan risk,51:52.2,51:52.2
r1_453,Assess eligibility,13:53.1,13:53.1
r1_453,Prepare acceptance pack,10:05.9,10:05.9
r1_453,Check if home insurance quote is requested,54:53.1,54:53.1
r1_453,Send acceptance pack,57:30.2,57:30.2
r1_453,Verify repayment agreement,38:59.8,38:59.8
r1_453,Approve application,41:01.2,41:01.2
r1_453,Loan  application approved,41:01.2,41:01.2
r1_94,Loan  application received,00:00.0,00:00.0
r1_94,Check  application  form completeness,22:35.1,22:35.1
r1_94,Appraise property,30:11.6,30:11.6
r1_94,Check credit history,09:25.7,09:25.7
r1_94,Assess loan risk,58:19.6,58:19.6
r1_94,Assess eligibility,03:18.2,03:18.2
r1_94,Reject application,05:10.0,05:10.0
r1_94,Loan application rejected,05:10.0,05:10.0
r1_293,Loan  application received,30:00.0,30:00.0
r1_293,Check  application  form completeness,53:09.1,53:09.1
r1_293,Return application back to applicant,27:56.2,27:56.2
r1_293,Receive updated application,37:30.6,37:30.6
r1_293,Check  application  form completeness,37:51.7,37:51.7
r1_293,Return application back to applicant,44:20.6,44:20.6
r1_293,Receive updated application,02:50.4,02:50.4
r1_293,Check  application  form completeness,10:46.0,10:46.0
r1_293,Appraise property,11:33.4,11:33.4
r1_293,Check credit history,13:03.0,13:03.0
r1_293,Assess loan risk,33:47.1,33:47.1
r1_293,Assess eligibility,34:59.1,34:59.1
r1_293,Reject application,07:31.4,07:31.4
r1_293,Loan application rejected,07:31.4,07:31.4
r1_325,Loan  application received,30:00.0,30:00.0
r1_325,Check  application  form completeness,30:21.9,30:21.9
r1_325,Check credit history,31:31.3,31:31.3
r1_325,Assess loan risk,03:40.4,03:40.4
r1_325,Appraise property,34:16.3,34:16.3
r1_325,Assess eligibility,52:55.6,52:55.6
r1_325,Reject application,55:05.1,55:05.1
r1_325,Loan application rejected,55:05.1,55:05.1
r1_393,Loan  application received,30:00.0,30:00.0
r1_393,Check  application  form completeness,52:11.1,52:11.1
r1_393,Appraise property,01:18.6,01:18.6
r1_393,Check credit history,08:09.8,08:09.8
r1_393,Assess loan risk,13:53.6,13:53.6
r1_393,Assess eligibility,21:14.6,21:14.6
r1_393,Prepare acceptance pack,53:20.8,53:20.8
r1_393,Check if home insurance quote is requested,53:58.3,53:58.3
r1_393,Send acceptance pack,13:12.1,13:12.1
r1_393,Verify repayment agreement,19:27.5,19:27.5
r1_393,Approve application,46:22.6,46:22.6
r1_393,Loan  application approved,46:22.6,46:22.6
r1_223,Loan  application received,30:00.0,30:00.0
r1_223,Check  application  form completeness,42:53.7,42:53.7
r1_223,Appraise property,54:59.7,54:59.7
r1_223,Check credit history,16:57.3,16:57.3
r1_223,Assess loan risk,28:29.9,28:29.9
r1_223,Assess eligibility,00:06.0,00:06.0
r1_223,Reject application,00:24.6,00:24.6
r1_223,Loan application rejected,00:24.6,00:24.6
r1_6,Loan  application received,00:00.0,00:00.0
r1_6,Check  application  form completeness,22:34.9,22:34.9
r1_6,Check credit history,22:48.2,22:48.2
r1_6,Appraise property,23:23.8,23:23.8
r1_6,Assess loan risk,29:14.8,29:14.8
r1_6,Assess eligibility,51:00.8,51:00.8
r1_6,Reject application,51:23.3,51:23.3
r1_6,Loan application rejected,51:23.3,51:23.3
r1_75,Loan  application received,30:00.0,30:00.0
r1_75,Check  application  form completeness,19:50.4,19:50.4
r1_75,Return application back to applicant,29:51.0,29:51.0
r1_75,Receive updated application,47:19.9,47:19.9
r1_75,Check  application  form completeness,59:57.0,59:57.0
r1_75,Check credit history,14:40.0,14:40.0
r1_75,Appraise property,19:56.6,19:56.6
r1_75,Assess loan risk,35:38.7,35:38.7
r1_75,Assess eligibility,46:14.1,46:14.1
r1_75,Prepare acceptance pack,16:31.1,16:31.1
r1_75,Check if home insurance quote is requested,34:51.3,34:51.3
r1_75,Send home insurance quote,00:06.5,00:06.5
r1_75,Verify repayment agreement,12:43.8,12:43.8
r1_75,Approve application,13:59.0,13:59.0
r1_75,Loan  application approved,13:59.0,13:59.0
r1_159,Loan  application received,30:00.0,30:00.0
r1_159,Check  application  form completeness,02:27.0,02:27.0
r1_159,Check credit history,04:37.1,04:37.1
r1_159,Assess loan risk,15:27.1,15:27.1
r1_159,Appraise property,27:30.4,27:30.4
r1_159,Assess eligibility,36:27.4,36:27.4
r1_159,Reject application,41:55.9,41:55.9
r1_159,Loan application rejected,41:55.9,41:55.9
r1_474,Loan  application received,00:00.0,00:00.0
r1_474,Check  application  form completeness,10:36.5,10:36.5
r1_474,Appraise property,49:20.3,49:20.3
r1_474,Check credit history,44:57.9,44:57.9
r1_474,Assess loan risk,10:27.7,10:27.7
r1_474,Assess eligibility,29:17.6,29:17.6
r1_474,Prepare acceptance pack,41:13.3,41:13.3
r1_474,Check if home insurance quote is requested,12:58.8,12:58.8
r1_474,Send home insurance quote,42:49.8,42:49.8
r1_474,Verify repayment agreement,56:01.2,56:01.2
r1_474,Cancel application,00:21.6,00:21.6
r1_474,Loan  application canceled,00:21.6,00:21.6
r1_147,Loan  application received,30:00.0,30:00.0
r1_147,Check  application  form completeness,40:18.7,40:18.7
r1_147,Check credit history,10:43.0,10:43.0
r1_147,Appraise property,11:41.3,11:41.3
r1_147,Assess loan risk,13:59.8,13:59.8
r1_147,Assess eligibility,12:11.6,12:11.6
r1_147,Prepare acceptance pack,41:42.4,41:42.4
r1_147,Check if home insurance quote is requested,58:58.5,58:58.5
r1_147,Send acceptance pack,25:41.6,25:41.6
r1_147,Verify repayment agreement,36:09.1,36:09.1
r1_147,Approve application,11:31.7,11:31.7
r1_147,Loan  application approved,11:31.7,11:31.7
r1_303,Loan  application received,30:00.0,30:00.0
r1_303,Check  application  form completeness,35:19.5,35:19.5
r1_303,Return application back to applicant,35:02.0,35:02.0
r1_303,Receive updated application,49:42.3,49:42.3
r1_303,Check  application  form completeness,01:45.3,01:45.3
r1_303,Check credit history,10:18.0,10:18.0
r1_303,Appraise property,23:45.2,23:45.2
r1_303,Assess loan risk,30:57.7,30:57.7
r1_303,Assess eligibility,55:32.8,55:32.8
r1_303,Prepare acceptance pack,01:12.4,01:12.4
r1_303,Check if home insurance quote is requested,20:26.9,20:26.9
r1_303,Send acceptance pack,41:15.7,41:15.7
r1_303,Verify repayment agreement,44:48.0,44:48.0
r1_303,Cancel application,20:51.6,20:51.6
r1_303,Loan  application canceled,20:51.6,20:51.6
r1_73,Loan  application received,30:00.0,30:00.0
r1_73,Check  application  form completeness,36:05.2,36:05.2
r1_73,Check credit history,38:18.2,38:18.2
r1_73,Assess loan risk,56:48.1,56:48.1
r1_73,Appraise property,03:06.4,03:06.4
r1_73,Assess eligibility,38:27.2,38:27.2
r1_73,Reject application,06:06.3,06:06.3
r1_73,Loan application rejected,06:06.3,06:06.3
r1_353,Loan  application received,30:00.0,30:00.0
r1_353,Check  application  form completeness,41:23.4,41:23.4
r1_353,Check credit history,45:19.6,45:19.6
r1_353,Appraise property,52:07.5,52:07.5
r1_353,Assess loan risk,43:00.0,43:00.0
r1_353,Assess eligibility,03:24.8,03:24.8
r1_353,Prepare acceptance pack,22:56.8,22:56.8
r1_353,Check if home insurance quote is requested,28:50.4,28:50.4
r1_353,Send acceptance pack,35:34.2,35:34.2
r1_353,Verify repayment agreement,52:57.4,52:57.4
r1_353,Approve application,11:21.6,11:21.6
r1_353,Loan  application approved,11:21.6,11:21.6
r1_468,Loan  application received,00:00.0,00:00.0
r1_468,Check  application  form completeness,07:43.8,07:43.8
r1_468,Appraise property,19:35.4,19:35.4
r1_468,Check credit history,46:05.0,46:05.0
r1_468,Assess loan risk,59:20.7,59:20.7
r1_468,Assess eligibility,15:15.4,15:15.4
r1_468,Reject application,20:08.4,20:08.4
r1_468,Loan application rejected,20:08.4,20:08.4
r1_376,Loan  application received,00:00.0,00:00.0
r1_376,Check  application  form completeness,16:30.6,16:30.6
r1_376,Check credit history,16:56.5,16:56.5
r1_376,Appraise property,22:15.1,22:15.1
r1_376,Assess loan risk,39:44.0,39:44.0
r1_376,Assess eligibility,43:19.8,43:19.8
r1_376,Prepare acceptance pack,03:07.8,03:07.8
r1_376,Check if home insurance quote is requested,12:23.5,12:23.5
r1_376,Send acceptance pack,13:35.5,13:35.5
r1_376,Verify repayment agreement,04:46.6,04:46.6
r1_376,Approve application,12:12.0,12:12.0
r1_376,Loan  application approved,12:12.0,12:12.0
r1_178,Loan  application received,00:00.0,00:00.0
r1_178,Check  application  form completeness,03:46.7,03:46.7
r1_178,Check credit history,04:10.1,04:10.1
r1_178,Assess loan risk,05:54.0,05:54.0
r1_178,Appraise property,43:31.3,43:31.3
r1_178,Assess eligibility,45:44.8,45:44.8
r1_178,Reject application,15:35.4,15:35.4
r1_178,Loan application rejected,15:35.4,15:35.4
r1_309,Loan  application received,30:00.0,30:00.0
r1_309,Check  application  form completeness,42:06.7,42:06.7
r1_309,Appraise property,03:22.4,03:22.4
r1_309,Check credit history,15:38.0,15:38.0
r1_309,Assess loan risk,39:16.6,39:16.6
r1_309,Assess eligibility,01:50.0,01:50.0
r1_309,Reject application,31:56.9,31:56.9
r1_309,Loan application rejected,31:56.9,31:56.9
r1_428,Loan  application received,00:00.0,00:00.0
r1_428,Check  application  form completeness,09:48.5,09:48.5
r1_428,Appraise property,34:10.5,34:10.5
r1_428,Check credit history,40:55.5,40:55.5
r1_428,Assess loan risk,50:44.9,50:44.9
r1_428,Assess eligibility,30:48.8,30:48.8
r1_428,Reject application,41:49.7,41:49.7
r1_428,Loan application rejected,41:49.7,41:49.7
r1_310,Loan  application received,00:00.0,00:00.0
r1_310,Check  application  form completeness,00:25.3,00:25.3
r1_310,Appraise property,06:38.7,06:38.7
r1_310,Check credit history,33:16.4,33:16.4
r1_310,Assess loan risk,06:52.8,06:52.8
r1_310,Assess eligibility,04:38.3,04:38.3
r1_310,Prepare acceptance pack,32:04.6,32:04.6
r1_310,Check if home insurance quote is requested,53:47.8,53:47.8
r1_310,Send acceptance pack,46:28.4,46:28.4
r1_310,Verify repayment agreement,39:00.0,39:00.0
r1_310,Cancel application,58:21.2,58:21.2
r1_310,Loan  application canceled,58:21.2,58:21.2
r1_191,Loan  application received,30:00.0,30:00.0
r1_191,Check  application  form completeness,00:10.1,00:10.1
r1_191,Check credit history,15:39.1,15:39.1
r1_191,Assess loan risk,53:52.5,53:52.5
r1_191,Appraise property,13:23.7,13:23.7
r1_191,Assess eligibility,27:43.7,27:43.7
r1_191,Prepare acceptance pack,41:33.6,41:33.6
r1_191,Check if home insurance quote is requested,50:37.1,50:37.1
r1_191,Send acceptance pack,35:40.3,35:40.3
r1_191,Verify repayment agreement,51:43.0,51:43.0
r1_191,Approve application,52:59.9,52:59.9
r1_191,Loan  application approved,52:59.9,52:59.9
r1_181,Loan  application received,30:00.0,30:00.0
r1_181,Check  application  form completeness,43:22.6,43:22.6
r1_181,Check credit history,54:03.9,54:03.9
r1_181,Assess loan risk,01:58.4,01:58.4
r1_181,Appraise property,20:43.8,20:43.8
r1_181,Assess eligibility,20:43.8,20:43.8
r1_181,Reject application,33:20.7,33:20.7
r1_181,Loan application rejected,33:20.7,33:20.7
r1_451,Loan  application received,30:00.0,30:00.0
r1_451,Check  application  form completeness,34:52.6,34:52.6
r1_451,Appraise property,36:26.6,36:26.6
r1_451,Check credit history,23:40.5,23:40.5
r1_451,Assess loan risk,29:33.3,29:33.3
r1_451,Assess eligibility,36:19.8,36:19.8
r1_451,Prepare acceptance pack,25:40.6,25:40.6
r1_451,Check if home insurance quote is requested,06:22.1,06:22.1
r1_451,Send home insurance quote,49:07.9,49:07.9
r1_451,Verify repayment agreement,19:46.2,19:46.2
r1_451,Cancel application,10:19.7,10:19.7
r1_451,Loan  application canceled,10:19.7,10:19.7
r1_7,Loan  application received,30:00.0,30:00.0
r1_7,Check  application  form completeness,01:31.7,01:31.7
r1_7,Return application back to applicant,01:59.8,01:59.8
r1_7,Receive updated application,09:55.2,09:55.2
r1_7,Check  application  form completeness,11:57.1,11:57.1
r1_7,Appraise property,13:15.1,13:15.1
r1_7,Check credit history,14:45.7,14:45.7
r1_7,Assess loan risk,27:10.6,27:10.6
r1_7,Assess eligibility,30:25.5,30:25.5
r1_7,Reject application,23:34.8,23:34.8
r1_7,Loan application rejected,23:34.8,23:34.8
r1_424,Loan  application received,00:00.0,00:00.0
r1_424,Check  application  form completeness,29:53.5,29:53.5
r1_424,Check credit history,39:46.4,39:46.4
r1_424,Assess loan risk,46:41.5,46:41.5
r1_424,Appraise property,08:42.6,08:42.6
r1_424,Assess eligibility,07:03.8,07:03.8
r1_424,Reject application,23:54.4,23:54.4
r1_424,Loan application rejected,23:54.4,23:54.4
r1_242,Loan  application received,00:00.0,00:00.0
r1_242,Check  application  form completeness,13:11.0,13:11.0
r1_242,Appraise property,18:47.2,18:47.2
r1_242,Check credit history,38:22.6,38:22.6
r1_242,Assess loan risk,41:36.5,41:36.5
r1_242,Assess eligibility,42:31.4,42:31.4
r1_242,Prepare acceptance pack,45:47.6,45:47.6
r1_242,Check if home insurance quote is requested,00:25.7,00:25.7
r1_242,Send home insurance quote,11:11.3,11:11.3
r1_242,Verify repayment agreement,21:06.9,21:06.9
r1_242,Approve application,18:06.9,18:06.9
r1_242,Loan  application approved,18:06.9,18:06.9
r1_344,Loan  application received,00:00.0,00:00.0
r1_344,Check  application  form completeness,52:43.3,52:43.3
r1_344,Appraise property,38:12.8,38:12.8
r1_344,Check credit history,47:38.9,47:38.9
r1_344,Assess loan risk,02:23.7,02:23.7
r1_344,Assess eligibility,13:12.4,13:12.4
r1_344,Prepare acceptance pack,34:50.3,34:50.3
r1_344,Check if home insurance quote is requested,47:04.7,47:04.7
r1_344,Send home insurance quote,03:14.6,03:14.6
r1_344,Verify repayment agreement,16:28.2,16:28.2
r1_344,Cancel application,31:59.2,31:59.2
r1_344,Loan  application canceled,31:59.2,31:59.2
r1_301,Loan  application received,30:00.0,30:00.0
r1_301,Check  application  form completeness,04:08.7,04:08.7
r1_301,Appraise property,11:18.1,11:18.1
r1_301,Check credit history,13:15.3,13:15.3
r1_301,Assess loan risk,16:00.8,16:00.8
r1_301,Assess eligibility,30:40.5,30:40.5
r1_301,Prepare acceptance pack,22:59.7,22:59.7
r1_301,Check if home insurance quote is requested,34:24.4,34:24.4
r1_301,Send home insurance quote,54:30.4,54:30.4
r1_301,Verify repayment agreement,08:43.7,08:43.7
r1_301,Approve application,02:45.4,02:45.4
r1_301,Loan  application approved,02:45.4,02:45.4
r1_35,Loan  application received,30:00.0,30:00.0
r1_35,Check  application  form completeness,49:45.6,49:45.6
r1_35,Appraise property,00:30.5,00:30.5
r1_35,Check credit history,58:27.3,58:27.3
r1_35,Assess loan risk,00:59.5,00:59.5
r1_35,Assess eligibility,34:43.0,34:43.0
r1_35,Reject application,55:23.1,55:23.1
r1_35,Loan application rejected,55:23.1,55:23.1
r1_416,Loan  application received,00:00.0,00:00.0
r1_416,Check  application  form completeness,03:52.8,03:52.8
r1_416,Check credit history,17:15.3,17:15.3
r1_416,Appraise property,18:11.0,18:11.0
r1_416,Assess loan risk,48:15.9,48:15.9
r1_416,Assess eligibility,50:46.6,50:46.6
r1_416,Reject application,51:18.4,51:18.4
r1_416,Loan application rejected,51:18.4,51:18.4
r1_295,Loan  application received,30:00.0,30:00.0
r1_295,Check  application  form completeness,55:13.3,55:13.3
r1_295,Appraise property,58:07.0,58:07.0
r1_295,Check credit history,25:38.4,25:38.4
r1_295,Assess loan risk,38:24.8,38:24.8
r1_295,Assess eligibility,39:42.6,39:42.6
r1_295,Prepare acceptance pack,05:21.7,05:21.7
r1_295,Check if home insurance quote is requested,17:57.0,17:57.0
r1_295,Send home insurance quote,18:37.0,18:37.0
r1_295,Verify repayment agreement,08:05.3,08:05.3
r1_295,Approve application,28:50.0,28:50.0
r1_295,Loan  application approved,28:50.0,28:50.0
r1_74,Loan  application received,00:00.0,00:00.0
r1_74,Check  application  form completeness,06:29.8,06:29.8
r1_74,Appraise property,20:39.9,20:39.9
r1_74,Check credit history,22:04.2,22:04.2
r1_74,Assess loan risk,06:10.5,06:10.5
r1_74,Assess eligibility,13:35.7,13:35.7
r1_74,Reject application,13:04.7,13:04.7
r1_74,Loan application rejected,13:04.7,13:04.7
r1_214,Loan  application received,00:00.0,00:00.0
r1_214,Check  application  form completeness,54:08.0,54:08.0
r1_214,Check credit history,13:14.7,13:14.7
r1_214,Appraise property,14:38.8,14:38.8
r1_214,Assess loan risk,46:58.6,46:58.6
r1_214,Assess eligibility,19:01.3,19:01.3
r1_214,Reject application,55:59.3,55:59.3
r1_214,Loan application rejected,55:59.3,55:59.3
r1_149,Loan  application received,30:00.0,30:00.0
r1_149,Check  application  form completeness,56:06.4,56:06.4
r1_149,Check credit history,56:41.3,56:41.3
r1_149,Assess loan risk,08:51.9,08:51.9
r1_149,Appraise property,29:30.9,29:30.9
r1_149,Assess eligibility,47:37.1,47:37.1
r1_149,Reject application,00:32.8,00:32.8
r1_149,Loan application rejected,00:32.8,00:32.8
r1_58,Loan  application received,00:00.0,00:00.0
r1_58,Check  application  form completeness,03:14.7,03:14.7
r1_58,Appraise property,13:58.2,13:58.2
r1_58,Check credit history,30:42.1,30:42.1
r1_58,Assess loan risk,29:15.8,29:15.8
r1_58,Assess eligibility,01:52.8,01:52.8
r1_58,Reject application,15:18.3,15:18.3
r1_58,Loan application rejected,15:18.3,15:18.3
r1_208,Loan  application received,00:00.0,00:00.0
r1_208,Check  application  form completeness,00:05.7,00:05.7
r1_208,Check credit history,31:00.2,31:00.2
r1_208,Appraise property,20:54.6,20:54.6
r1_208,Assess loan risk,32:00.4,32:00.4
r1_208,Assess eligibility,34:48.8,34:48.8
r1_208,Prepare acceptance pack,41:26.4,41:26.4
r1_208,Check if home insurance quote is requested,47:04.7,47:04.7
r1_208,Send acceptance pack,02:18.6,02:18.6
r1_208,Verify repayment agreement,02:58.5,02:58.5
r1_208,Approve application,31:37.2,31:37.2
r1_208,Loan  application approved,31:37.2,31:37.2
r1_228,Loan  application received,00:00.0,00:00.0
r1_228,Check  application  form completeness,36:05.6,36:05.6
r1_228,Appraise property,07:29.3,07:29.3
r1_228,Check credit history,13:34.5,13:34.5
r1_228,Assess loan risk,17:32.1,17:32.1
r1_228,Assess eligibility,25:49.4,25:49.4
r1_228,Reject application,49:41.4,49:41.4
r1_228,Loan application rejected,49:41.4,49:41.4
r1_369,Loan  application received,30:00.0,30:00.0
r1_369,Check  application  form completeness,44:05.5,44:05.5
r1_369,Appraise property,46:23.3,46:23.3
r1_369,Check credit history,04:37.1,04:37.1
r1_369,Assess loan risk,12:24.9,12:24.9
r1_369,Assess eligibility,20:24.7,20:24.7
r1_369,Reject application,24:34.7,24:34.7
r1_369,Loan application rejected,24:34.7,24:34.7
r1_490,Loan  application received,00:00.0,00:00.0
r1_490,Check  application  form completeness,28:38.4,28:38.4
r1_490,Check credit history,50:30.2,50:30.2
r1_490,Assess loan risk,00:16.0,00:16.0
r1_490,Appraise property,17:00.7,17:00.7
r1_490,Assess eligibility,18:21.7,18:21.7
r1_490,Reject application,04:27.9,04:27.9
r1_490,Loan application rejected,04:27.9,04:27.9
r1_132,Loan  application received,00:00.0,00:00.0
r1_132,Check  application  form completeness,58:52.2,58:52.2
r1_132,Check credit history,59:51.1,59:51.1
r1_132,Assess loan risk,58:56.0,58:56.0
r1_132,Appraise property,47:26.5,47:26.5
r1_132,Assess eligibility,04:32.9,04:32.9
r1_132,Prepare acceptance pack,57:53.5,57:53.5
r1_132,Check if home insurance quote is requested,17:27.0,17:27.0
r1_132,Send home insurance quote,54:59.9,54:59.9
r1_132,Verify repayment agreement,59:47.7,59:47.7
r1_132,Approve application,56:42.5,56:42.5
r1_132,Loan  application approved,56:42.5,56:42.5
r1_401,Loan  application received,30:00.0,30:00.0
r1_401,Check  application  form completeness,35:49.0,35:49.0
r1_401,Appraise property,51:57.6,51:57.6
r1_401,Check credit history,58:55.2,58:55.2
r1_401,Assess loan risk,03:54.9,03:54.9
